row.id,Genus_Species,altname,nametype,complex,with.data
310,Acrolophus fervidus,Acrolophus fervidus,binomial,FALSE,FALSE
311,Acrolophus filicicornis,Acrolophus filicicornis,binomial,FALSE,FALSE
312,Acrolophus forbesi,Acrolophus forbesi,binomial,FALSE,FALSE
313,Acrolophus furcatus,Acrolophus furcatus,binomial,FALSE,FALSE
314,Acrolophus griseus,Acrolophus griseus,binomial,FALSE,FALSE
315,Acrolophus heppneri,Acrolophus heppneri,binomial,FALSE,FALSE
316,Acrolophus juxtatus,Acrolophus juxtatus,binomial,FALSE,FALSE
317,Acrolophus kearfotti,Acrolophus kearfotti,binomial,FALSE,FALSE
318,Acrolophus klotsi,Acrolophus klotsi,binomial,FALSE,FALSE
319,Acrolophus laticapitana,Acrolophus laticapitana,binomial,FALSE,FALSE
320,Acrolophus laticapitana heinrichi,Acrolophus laticapitana heinrichi,binomial,FALSE,FALSE
321,Acrolophus laticapitana occidens,Acrolophus laticapitana occidens,binomial,FALSE,FALSE
322,Acrolophus leucodocis,Acrolophus leucodocis,binomial,FALSE,FALSE
323,Acrolophus luriei,Acrolophus luriei,binomial,FALSE,FALSE
324,Acrolophus macrogaster,Acrolophus macrogaster,binomial,FALSE,FALSE
325,Acrolophus macrophallus,Acrolophus macrophallus,binomial,FALSE,FALSE
326,Acrolophus maculifer,Acrolophus maculifer,binomial,FALSE,FALSE
327,Acrolophus minor,Acrolophus minor,binomial,FALSE,FALSE
328,Acrolophus mortipennella,Acrolophus mortipennella,binomial,FALSE,FALSE
329,Acrolophus morus,Acrolophus morus,binomial,FALSE,FALSE
330,Acrolophus mycetophagus,Acrolophus mycetophagus,binomial,FALSE,FALSE
331,Acrolophus mycetophagus,Frilly Grass Tubeworm Moth,english,FALSE,FALSE
332,Acrolophus panamae,Acrolophus panamae,binomial,FALSE,FALSE
333,Acrolophus panamae,Panama Grass Tubeworm Moth,english,FALSE,FALSE
334,Acrolophus parvipalpus,Acrolophus parvipalpus,binomial,FALSE,FALSE
335,Acrolophus persimplex,Acrolophus persimplex,binomial,FALSE,FALSE
336,Acrolophus pholeter,Acrolophus pholeter,binomial,FALSE,FALSE
337,Acrolophus piger,Acrolophus piger,binomial,FALSE,FALSE
338,Acrolophus piger,Piger Grass Tubeworm Moth,english,FALSE,FALSE
339,Acrolophus plumifrontella,Acrolophus plumifrontella,binomial,FALSE,FALSE
340,Acrolophus plumifrontella,Eastern Grass Tubeworm Moth,english,FALSE,FALSE
341,Acrolophus popeanella,Acrolophus popeanella,binomial,FALSE,TRUE
342,Acrolophus popeanella,Clemens' Grass Tubeworm Moth,english,FALSE,FALSE
343,Acrolophus propinqua,Acrolophus propinqua,binomial,FALSE,FALSE
344,Acrolophus propinqua,Walsingham's Grass Tubeworm Moth,english,FALSE,FALSE
345,Acrolophus pseudohirsutus,Acrolophus pseudohirsutus,binomial,FALSE,FALSE
346,Acrolophus punctellus,Acrolophus punctellus,binomial,FALSE,FALSE
347,Acrolophus pyramellus,Acrolophus pyramellus,binomial,FALSE,FALSE
348,Acrolophus quadrellus,Acrolophus quadrellus,binomial,FALSE,FALSE
349,Acrolophus seculatus,Acrolophus seculatus,binomial,FALSE,FALSE
350,Acrolophus serratus,Acrolophus serratus,binomial,FALSE,FALSE
351,Acrolophus simulatus,Acrolophus simulatus,binomial,FALSE,FALSE
352,Acrolophus sinclairi,Acrolophus sinclairi,binomial,FALSE,FALSE
353,Acrolophus spilotus,Acrolophus spilotus,binomial,FALSE,FALSE
354,Acrolophus texanella,Acrolophus texanella,binomial,FALSE,FALSE
355,Acrolophus texanella,Texas Grass Tubeworm Moth,english,FALSE,FALSE
356,Acrolophus vanduzeei,Acrolophus vanduzeei,binomial,FALSE,FALSE
357,Acrolophus variabilis,Acrolophus variabilis,binomial,FALSE,FALSE
358,Acrolophus vauriei,Acrolophus vauriei,binomial,FALSE,FALSE
359,Acrolophus walsinghami,Acrolophus walsinghami,binomial,FALSE,FALSE
360,Acroncosa albiflavella,Acroncosa albiflavella,binomial,FALSE,FALSE
361,Acroncosa castrella,Acroncosa castrella,binomial,FALSE,FALSE
362,Acroncosa minima,Acroncosa minima,binomial,FALSE,FALSE
363,Acroncosa similella,Acroncosa similella,binomial,FALSE,FALSE
364,Acronicta afflicta,Acronicta afflicta,binomial,FALSE,TRUE
365,Acronicta afflicta,Afflicted Dagger,english,FALSE,FALSE
366,Acronicta albarufa,Acronicta albarufa,binomial,FALSE,FALSE
367,Acronicta albarufa,Barrens Dagger,english,FALSE,FALSE
368,Acronicta americana,Acronicta americana,binomial,FALSE,TRUE
369,Acronicta americana,American Dagger,english,FALSE,FALSE
370,Acronicta atristrigatus,Acronicta atristrigatus,binomial,FALSE,FALSE
371,Acronicta barnesii,Acronicta barnesii,binomial,FALSE,FALSE
372,Acronicta beameri,Acronicta beameri,binomial,FALSE,FALSE
