"q10","q50","w10","w50","year","HEXcell","code"
192.2,220,182.700615233408,219.837735358599,2009,649,"RL"
160.5,193.5,150.08392903986,205.457840899004,2010,649,"RL"
138,183,121.780497459369,197.711689401553,2011,649,"RL"
125,216,142.509766367407,205.664812765625,2012,649,"RL"
150,220,156.989232538988,214.440909397932,2013,649,"RL"
140,212,148.908462082646,204.481001777134,2014,649,"RL"
142,218,141.302424772835,211.224705798532,2015,649,"RL"
149,221,149.079973204951,220.034066984834,2016,649,"RL"
144,214,143.755062585169,207.60445041015,2017,649,"RL"
149,219.5,154.964101789363,214.435468137288,2018,649,"RL"
145,216,149.386948155368,211.607480040661,2019,649,"RL"
146,211,143.217501341332,203.092570541535,2020,649,"RL"
190,220,172.624243697176,219.167243393167,2009,649,"RP"
125,222,153.627110639331,210.429987684703,2012,649,"RP"
149.4,216,149.54618210298,209.512454754176,2013,649,"RP"
140,210,149.896634374261,202.328323471273,2014,649,"RP"
120,213,128.095783964239,199.609147392634,2015,649,"RP"
133,217,139.189973725426,211.750210463205,2016,649,"RP"
136,209,135.429472472875,202.704225102359,2017,649,"RP"
145,214,145.03948567605,207.963465570405,2018,649,"RP"
142,209,144.137265483505,207.218644610323,2019,649,"RP"
142,205,138.527945090978,199.915621479511,2020,649,"RP"
98.8,202,103.897981084888,189.131483399265,2016,672,"RL"
88,245,120.217908852001,208.447649266778,2017,672,"RL"
121,211.5,137.885828572545,208.933978221465,2018,672,"RL"
125.4,208,128.406189699861,209.154963157918,2019,672,"RL"
109,195,125.899671606576,196.310723162521,2020,672,"RL"
88,244,113.044835733011,203.582430779645,2017,672,"RP"
111,200,124.332089351679,199.147372777764,2018,672,"RP"
110,190,109.589054701204,192.523630271531,2019,672,"RP"
106,204,126.245170645538,194.747844554329,2020,672,"RP"
142.8,216,152.529640634988,209.538278820552,2020,673,"RE"
153.1,227.5,167.034699674353,221.580245779502,2016,673,"RL"
133,195,133.942689216313,194.118659530376,2017,673,"RL"
139,207,147.739962754407,205.196807409299,2018,673,"RL"
133,211,146.544300340197,206.433747185845,2019,673,"RL"
149.6,226,160.102978952778,217.595701106208,2020,673,"RL"
105.6,196.5,120.167580350946,189.750629469344,2017,673,"RP"
139,207,145.688019411888,202.463932343933,2018,673,"RP"
125,205,133.98735855773,199.280394886839,2019,673,"RP"
122.4,218,145.535398759183,209.764077895576,2020,673,"RP"
121.4,220,140.71492882174,214.543870933914,2016,674,"RL"
149.4,213.5,143.652455291008,212.532062363473,2017,674,"RL"
147.2,217,148.870818716972,209.981926167012,2018,674,"RL"
140,207,142.085445629671,205.018855791658,2019,674,"RL"
138,218.5,149.840309131113,210.593835937636,2020,674,"RL"
130.8,199,119.936414644613,196.053373822832,2017,674,"RP"
126.6,213.5,150.211088476856,204.855988027537,2018,674,"RP"
118.2,197,120.477952339644,189.206274490474,2019,674,"RP"
100,202,116.463497965926,186.572566936071,2020,674,"RP"
145,199,138.739246462079,196.253618510701,2017,675,"RL"
156.1,196.5,145.708306827903,202.139579299109,2018,675,"RL"
140,203.5,140.044874166805,201.344956004635,2019,675,"RL"
138,209,138.705028724971,203.01981121234,2020,675,"RL"
150.8,206,152.761811297118,201.098819349872,2017,675,"RP"
144.2,196,137.89299349584,192.03667517873,2018,675,"RP"
134.6,199,133.189314634138,195.36927003469,2019,675,"RP"
116,199.5,123.837504069635,192.034451610364,2020,675,"RP"
136,218,139.46734987722,204.457213838977,2015,676,"RE"
137,220,132.290446377728,213.904580988994,2016,676,"RE"
123,203,118.751911045518,189.670322352231,2017,676,"RE"
146,225,151.833355292764,223.560177523389,2018,676,"RE"
141.9,217,141.872113682955,215.682814962986,2019,676,"RE"
146,215,143.238523274396,202.21957754562,2020,676,"RE"
138,217,143.130043185383,214.370737428351,2012,676,"RL"
149,200,134.364627597261,209.115824812752,2013,676,"RL"
150,219,151.74115286678,207.217899797942,2014,676,"RL"
136,213,144.555368908144,207.26146504405,2015,676,"RL"
128,223,141.705306873507,218.965936979298,2016,676,"RL"
122,199,120.001780567506,192.210566159663,2017,676,"RL"
144,225,148.584522003344,222.339488407102,2018,676,"RL"
136,213,137.322267411769,211.739133212786,2019,676,"RL"
137,212,137.838220419137,203.730638151741,2020,676,"RL"
124.6,217,135.905630467672,209.901278296055,2012,676,"RP"
136,201,128.095097668708,199.850995035398,2013,676,"RP"
110,197,118.816528103594,186.187796962744,2014,676,"RP"
