"q10","q50","w10","w50","year","HEXcell","code"
177.2,206,167.479249126292,214.688117081087,2019,568,"RL"
165,194,156.206700447684,198.604527693697,2020,568,"RL"
153,174,140.76201395096,179.467202424802,2016,568,"RP"
159.5,197.5,148.051166773174,202.817729410658,2019,568,"RP"
153.2,193,140.947568061119,192.885749493261,2020,568,"RP"
162.7,222,164.110662525413,223.522708671529,2015,589,"RL"
165,222.5,162.807536449831,220.229791659124,2016,589,"RL"
132,184,128.961779760337,189.685392521608,2017,589,"RL"
148,215,150.779770208303,209.698983770052,2018,589,"RL"
182,220,171.046791918923,222.000980659532,2019,589,"RL"
157,210,150.368020936679,211.019463773187,2020,589,"RL"
126.4,188,123.690696505292,183.252244211897,2017,589,"RP"
154,216,156.939730567104,214.185987224798,2018,589,"RP"
169,228,161.120054569368,221.010962022427,2019,589,"RP"
